Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,Income,Approved
1,3.4604092412940015,0.0,1,1,11,3,0.8109302162163288,1,1,0.6931471805599453,0,0,0.0,1
0,4.088829381533991,1.6974487897568138,1,1,9,2,1.3962446919730587,1,1,1.9459101490553132,0,0,6.329720905522696,1
0,3.2386784521643803,0.4054651081081644,1,1,9,2,0.9162907318741551,1,0,0.0,0,0,6.715383386334682,1
1,3.3614165116503107,0.9321640810304452,1,1,11,3,1.55814461804655,1,1,1.791759469228055,1,0,1.3862943611198906,1
1,3.0525850851467737,1.890850371872286,1,1,11,3,0.9969486348916096,1,0,0.0,0,2,0.0,1
1,3.4989288701554906,1.6094379124341003,1,1,8,3,1.252762968495368,1,0,0.0,1,0,0.0,1
1,3.5313480661272005,0.712949807856125,1,1,10,2,2.0149030205422647,1,0,0.0,1,0,10.350925992121716,1
0,3.1747149290824312,2.5325056285872796,1,1,1,3,0.03922071315328133,1,0,0.0,0,0,7.2078598714324755,1
1,4.014940539434833,0.4054651081081644,0,0,7,2,1.6014057407368363,1,0,0.0,0,0,5.752572638825633,1
1,3.7727609380946383,1.7774914974303502,0,0,11,3,1.4267162756188059,1,0,0.0,1,0,7.274479558773871,1
1,3.138966441639899,0.6043159668533296,1,1,0,2,1.1521530555961395,0,0,0.0,1,0,0.0,1
1,3.431403223719221,1.0420419371797154,1,1,0,2,1.6742888847537167,1,0,0.0,0,0,5.303304908059076,1
0,3.6699514442284173,1.9459101490553132,1,1,7,3,0.6931471805599453,1,0,0.0,1,0,0.0,1
1,3.8934516198427107,1.951608170169951,1,1,7,3,0.03922071315328133,0,0,0.0,0,0,7.897668150726906,1
0,3.84652402319545,2.4423470353692043,1,1,9,3,1.791759469228055,1,1,2.0794415416798357,1,0,0.0,1
1,3.62886402170395,1.6891728804529538,0,0,7,3,0.22314355131420976,1,1,2.3978952727983707,1,0,0.0,1
1,3.3758795736778655,0.6286086594223741,1,1,8,3,0.6729444732424258,1,1,1.3862943611198906,1,0,0.0,1
0,3.188416617383492,1.927891643552635,1,1,9,3,1.42791603581071,1,1,2.3978952727983707,0,0,5.5053315359323625,1
1,3.1280754605417043,0.22314355131420976,1,1,2,2,0.5098251234324072,1,0,0.0,1,0,0.0,1
0,3.0041963519661206,2.2601993764976083,1,1,1,2,0.5596157879354227,1,1,2.0794415416798357,0,0,0.0,1
1,3.258096538021482,2.505525936990736,1,1,0,3,1.252762968495368,1,1,2.8903717578961645,0,0,7.097548850614793,1
1,3.188416617383492,0.6931471805599453,1,1,0,3,0.6070444815065336,1,0,0.0,0,2,0.0,1
0,3.886705197443856,2.1972245773362196,1,1,0,3,2.1832383353614797,1,1,1.9459101490553132,1,0,7.13966033596492,1
0,3.3470931226689546,2.740840023925201,1,1,12,2,1.4073217283119661,1,1,0.6931471805599453,0,0,2.4849066497880004,1
0,3.741709067758469,2.0149030205422647,1,1,9,3,0.4054651081081644,1,1,1.3862943611198906,1,0,0.0,1
