Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,AgeNorm,DebtNorm,YearsEmployedNorm,CreditScoreNorm,IncomeNorm,AgeLog,DebtLog,YearsEmployedLog,CreditScoreLog,IncomeLog
0,58.67,4.46,1,1,Materials,Black,3.04,1,1,6,0,ByBirth,00043,560,1,2.2819625908887193,-0.061435212556837676,0.24360624402812475,0.7399196334994419,-0.08807404971720255,1.965789500428498,0.3486486742787648,0.7424363947461299,1.3568584338616614,1.0523060549632397
0,24.5,0.5,1,1,Materials,Black,1.5,1,0,0,0,ByBirth,00280,824,1,-0.5973800661203341,-0.8574381157222776,-0.2166024966485871,-0.49397619743508525,-0.03740185830739133,-0.5503469253785075,-1.1906263945576916,0.10632969892221877,-0.7395704503769633,1.1733393434593284
1,27.83,1.54,1,1,Industrials,White,3.75,1,1,5,1,ByBirth,00100,3,1,-0.3167768747875819,-0.6483868482242833,0.4557804036907646,0.5342703283436874,-0.19498469598714516,-0.18708707158476778,-0.5631149102280378,0.9570103655651682,1.1907839941596159,-0.49910016388441425
1,20.17,5.625,1,1,Industrials,White,1.71,1,0,0,0,ByOtherMeans,00120,0,1,-0.9622484800755344,0.1727424092077425,-0.15384675928358094,-0.49397619743508525,-0.19556051634407481,-1.1011153632854926,0.5790681740390037,0.2132296027587152,-0.7395704503769633,-0.9341639144381613
1,32.08,4.0,1,1,CommunicationServices,White,2.5,1,0,0,1,ByBirth,00360,0,1,0.04135032135782276,-0.15390019625787363,0.08223434794668033,-0.49397619743508525,-0.19556051634407481,0.21989931433858206,0.24379212603165012,0.5522729777931663,-0.7395704503769633,-0.9341639144381613
1,33.17,1.04,1,1,Transport,Black,6.5,1,0,0,1,ByBirth,00164,31285,1,0.13319941401629154,-0.7488922652906267,1.27758172632775,-0.49397619743508525,5.809286105837531,0.3158483006442024,-0.8242877642069311,1.5623748429027122,-0.7395704503769633,2.314289523833654
0,22.92,11.585,1,1,InformationTechnology,White,0.04,1,0,0,0,ByBirth,00080,1349,1,-0.730519117863802,1.3707669806385563,-0.6529042897576776,-0.49397619743508525,0.06336670415530143,-0.7396556055075494,1.3435390829818323,-1.0560945292262123,-0.7395704503769633,1.327894301392713
1,54.42,0.5,0,0,Financials,Black,3.96,1,0,0,0,ByBirth,00180,314,1,1.9238353947433147,-0.8574381157222776,0.5185361410557707,-0.49397619743508525,-0.13529131898543573,1.7471054989838941,-1.1906263945576916,1.0143464688165718,-0.7395704503769633,0.8711783691144888
1,42.5,4.915,0,0,Industrials,White,3.165,1,0,0,1,ByBirth,00052,1442,1,0.9193939410837326,0.030024716973534857,0.2809608496025332,-0.49397619743508525,0.08121713522012129,1.0303422802795157,0.4440119099868342,0.7828218900245187,-0.7395704503769633,1.3488017016161775
1,22.08,0.83,1,1,Energy,Black,2.165,0,0,0,1,ByBirth,00128,0,1,-0.8013019048666588,-0.7911045404584909,-0.017875994992734248,-0.49397619743508525,-0.19556051634407481,-0.8454580792969469,-0.9537146025352351,0.418929689515533,-0.7395704503769633,-0.9341639144381613
1,29.92,1.835,1,1,Energy,Black,4.335,1,0,0,0,ByBirth,00260,200,1,-0.14066255950666495,-0.5890886521551406,0.630599957778996,-0.49397619743508525,-0.15717249254876328,0.0200480493397351,-0.4322059467557229,1.1109421004314928,-0.7395704503769633,0.7301837077842855
0,38.25,6.0,1,1,Financials,White,1.0,1,0,0,1,ByBirth,00000,0,1,0.561266744938328,0.2481214720075001,-0.3660209189462208,-0.49397619743508525,-0.19556051634407481,0.7260637063239541,0.6446666359370482,-0.18941347421806598,-0.7395704503769633,-0.9341639144381613
1,48.08,6.04,1,1,Financials,White,0.04,0,0,0,0,ByBirth,00000,2690,1,1.3895938833169932,0.2561619053728076,-0.6529042897576776,-0.49397619743508525,0.3207584037028652,1.3875426433103262,0.6514552834780709,-1.0560945292262123,-0.7395704503769633,1.544378322081092
0,45.83,10.5,1,1,Materials,White,5.0,1,1,7,1,ByBirth,00000,0,1,1.1999971324164849,1.1526702256045909,0.8293264594348488,0.9455689386551964,-0.19556051634407481,1.2486540869132825,1.2361237365241589,1.2666316697624276,1.5007186571029862,-0.9341639144381613
1,36.67,4.415,0,0,Financials,White,0.25,1,1,10,1,ByBirth,00320,0,1,0.42812769319486005,-0.07048070009280857,-0.5901485523926714,1.5625168541224599,-0.19556051634407481,0.6044599335291708,0.3387887193549324,-0.8123325049583112,1.8438052073913265,-0.9341639144381613
1,28.25,0.875,1,1,CommunicationServices,White,0.96,1,1,3,1,ByBirth,00396,0,1,-0.28138548128615354,-0.78205905292252,-0.3779743927300315,0.12297171803217832,-0.19556051634407481,-0.14428168734173608,-0.9247721812356696,-0.21618912035670118,0.7539556212763365,-0.9341639144381613
0,23.25,5.875,1,1,Materials,White,3.17,1,1,10,0,ByBirth,00120,245,1,-0.7027115943983943,0.2229951177409142,0.28245503382550946,1.5625168541224599,-0.1485351871948182,-0.6991036095755844,0.623199308840027,0.78441199148195,1.8438052073913265,0.7935861603220528
1,21.83,0.25,1,1,Real Estate,Black,0.665,1,0,0,1,ByBirth,00000,0,1,-0.8223682105222708,-0.9076908242554493,-0.46613126188563536,-0.49397619743508525,-0.19556051634407481,-0.8776914078828045,-1.4078451031765706,-0.43237925370035296,-0.7395704503769633,-0.9341639144381613
0,19.17,8.585,1,1,InformationTechnology,Black,0.75,1,1,7,0,ByBirth,00096,0,1,-1.0465137026979825,0.7677344782404958,-0.44073013009503764,0.9455689386551964,-0.19556051634407481,-1.244328350472106,1.0191122106586,-0.3663892260873639,1.5007186571029862,-0.9341639144381613
1,25.0,11.25,1,1,Energy,White,2.5,1,1,17,0,ByBirth,00200,1208,1,-0.55524745480911,1.303428351204106,0.08223434794668033,3.002061990212742,0.036303147379606805,-0.4928764793005028,1.3113953591644687,0.5522729777931663,2.3743754028695454,1.2932751557117164
1,23.25,1.0,1,1,Energy,White,0.835,1,0,0,0,ByOtherMeans,00300,0,1,-0.7027115943983943,-0.7569326986559342,-0.4153289983044399,-0.49397619743508525,-0.19556051634407481,-0.6991036095755844,-0.8478807018944824,-0.3035296352454692,-0.7395704503769633,-0.9341639144381613
0,47.75,8.0,1,1,Energy,White,7.875,1,1,6,1,ByBirth,00000,1260,1,1.3617863598515854,0.6501431402728738,1.6884823876462427,0.7399196334994419,0.0462840335663878,1.367575695612903,0.9440837565914306,1.7854779523719269,1.3568584338616614,1.306491094022982
0,27.42,14.5,1,1,Utilities,Black,3.085,1,1,1,0,ByBirth,00120,11,1,-0.35132561606278534,1.9567135621353382,0.25705390203491174,-0.2883268922793307,-0.19344917503533268,-0.22947907459500533,1.5917496024177815,0.7571173382758214,0.007192585449686604,-0.15432029885901818
0,41.17,6.5,1,1,Materials,White,0.5,1,1,3,1,ByBirth,00145,0,1,0.8073211949958767,0.3486268890738435,-0.5154393412438545,0.12297171803217832,-0.19556051634407481,0.9384400787490093,0.7268650479725512,-0.5706927379986325,0.7539556212763365,-0.9341639144381613
